City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
306,pariaman,-0.619,100.12,76.78,84,45,3.71,ID,1690317946
307,vorgashor,67.5833,63.95,60.22,84,100,6.44,RU,1690317813
308,amahai,-3.3333,128.9167,79.0,85,75,7.14,ID,1690317946
309,peto,20.1333,-88.9167,102.16,22,33,7.09,MX,1690317946
310,omerli,37.4022,40.9541,78.67,26,0,3.27,TR,1690317946
311,lapa,-25.7697,-49.7158,61.36,70,21,2.71,BR,1690317946
312,suntar,62.1444,117.6319,61.63,91,65,4.52,RU,1690317946
313,obo,5.3998,26.4869,66.78,99,65,3.87,CF,1690317947
314,kavieng,-2.5744,150.7967,79.9,83,99,12.71,PG,1690317834
315,orkney,-26.9802,26.6727,55.06,70,57,11.36,ZA,1690317947
316,vorkuta,67.5,64.0,60.64,84,100,6.64,RU,1690317659
317,hirara,24.8,125.2833,82.26,89,100,16.11,JP,1690317947
318,cherepovets,59.1333,37.9,55.22,100,40,0.0,RU,1690317947
319,kidal,18.4411,1.4078,94.06,31,75,12.84,ML,1690317947
320,betio village,1.358,172.9211,78.84,73,58,5.46,KI,1690317947
321,borovichi,58.3878,33.9155,59.58,99,92,6.06,RU,1690317947
322,warmbaths,-24.8833,28.2833,54.36,78,60,3.58,ZA,1690317948
323,la paz,-16.5,-68.15,62.58,11,0,13.8,BO,1690317948
324,walvis bay,-22.9575,14.5053,55.09,93,88,3.44,NA,1690317840
325,libourne,44.9167,-0.25,65.57,87,64,5.99,FR,1690317948
326,konarka,19.9,86.1167,81.0,84,62,14.63,IN,1690317948
327,neyriz,29.1988,54.3278,79.66,41,4,3.31,IR,1690317948
328,amurzet,47.6967,131.0981,66.72,87,22,4.92,RU,1690317949
329,nova sintra,14.8667,-24.7167,72.16,85,21,11.39,CV,1690317825
330,east london,-33.0153,27.9116,59.16,55,100,7.54,ZA,1690317836
331,gizo,-8.103,156.8419,79.93,86,100,16.78,SB,1690317949
332,bridgewater,44.3835,-64.5155,84.11,65,15,21.85,CA,1690317949
333,shangzhi,45.2167,127.9667,66.22,98,79,3.83,CN,1690317949
334,margate,51.3813,1.3862,61.7,72,72,7.25,GB,1690317880
335,kerema,-7.9631,145.7785,74.82,82,89,1.95,PG,1690317949
336,trinidad,-14.8333,-64.9,93.18,33,20,11.5,BO,1690317949
337,riohacha,11.5444,-72.9072,87.91,70,20,16.11,CO,1690317950
338,kalas,18.1667,74.8,72.61,91,100,10.92,IN,1690317950
339,akjoujt,19.6969,-14.4164,101.59,17,67,9.86,MR,1690317950
340,nadi,-17.8,177.4167,71.6,88,100,8.05,FJ,1690317950
341,kiruna,67.8557,20.2251,52.72,100,100,2.3,SE,1690317850
342,haiku-pauwela,20.9219,-156.3051,83.17,65,20,24.16,US,1690317790
343,mitu,1.1983,-70.1733,71.51,99,100,0.67,CO,1690317950
344,crateus,-5.1783,-40.6775,84.04,34,12,3.6,BR,1690317951
345,kingscliff,-28.2667,153.5667,57.76,88,75,5.75,AU,1690317951
346,tobelo,1.7284,128.0095,78.33,85,100,7.18,ID,1690317951
347,san julian,21.0167,-102.1667,70.77,58,93,8.05,MX,1690317951
348,utrik,11.2278,169.8474,83.17,78,85,16.69,MH,1690317897
349,carauari,-4.8828,-66.8958,94.42,35,12,0.92,BR,1690317834
350,nuuk,64.1835,-51.7216,56.01,58,0,8.05,GL,1690317693
351,weno,7.4515,151.8468,78.75,94,100,4.61,FM,1690317828
352,sorsk,54.0033,90.2467,55.09,88,25,3.24,RU,1690317951
353,maba,24.6841,113.5984,76.98,93,78,1.9,CN,1690317952
354,el tigre,8.8875,-64.2454,83.68,68,95,3.87,VE,1690317952
355,ulanhot,46.0833,122.0833,69.4,77,44,4.36,CN,1690317732
356,doka,13.5167,35.7667,75.79,79,100,7.63,SD,1690317952
357,shizunai-furukawacho,42.3339,142.3669,71.53,97,73,1.3,JP,1690317952
358,viedma,-40.8135,-62.9967,49.15,69,100,14.67,AR,1690317877
359,salahonda,2.1019,-78.7217,80.73,81,94,13.58,CO,1690317952
360,oakdale,44.963,-92.9649,96.15,47,0,12.66,US,1690317788
361,kelso,46.1468,-122.9084,79.47,51,0,6.91,US,1690317953
362,selizharovo,56.8519,33.4487,61.23,98,83,6.93,RU,1690317953
363,la passe,45.5549,-0.8967,65.03,75,84,10.0,FR,1690317837
364,kununurra,-15.7667,128.7333,53.58,66,20,4.61,AU,1690317826
